# Catálogo de FIIs e FIAGROs (asset_class=fii|fiagro)
#
# Arquivo gerado/atualizado pelo crawler do FundsExplorer:
#   uv run python scripts/crawler/fundsexplorer/generate_fiis_csv.py
#
# O crawler é não-destrutivo: nunca sobrescreve uma célula já preenchida
# (ex.: reclassificação manual de FII → FIAGRO permanece intacta).
#
# Schema canônico: ver data/asset_catalog/README.md.
ticker,cnpj,razao_social,asset_class,sector_category,sector_subcategory,site_ri,fonte
ESUD11,13.301.359/0001-40,FDO INV PART IE BB VOTORANTIM ENERG SUSTENT II,fii,Fip,,,FundsExplorer 2026-05
ESUT11,13.301.410/0001-14,FDO INV PART IE BB VOTORANTIM ENERG SUSTENT III,fii,Fip,,,FundsExplorer 2026-05
ESUU11,13.301.469/0001-02,FDO INV PART IE BB VOTORANTIM ENERG SUSTENT I,fii,Fip,,,FundsExplorer 2026-05
EURO11,05.437.916/0001-27,EUROPAR,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
EVBI11,34.691.520/0001-00,VBI CONSUMO ESSEN,fii,Tijolo,renda urbana,,FundsExplorer 2026-05
EXES11,41.076.851/0001-03,FII EXES,fii,Papel,Papéis,,FundsExplorer 2026-05
FAED11,11.179.118/0001-45,Anhanguera Educacional,fii,Tijolo,Educacional,,FundsExplorer 2026-05
FAED11B,,FII ANH EDUC,fii,Outros,,,FundsExplorer 2026-05
FAGL11,29.614.033/0001-03,FII FATOR GP,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
FAMB11B,05.562.312/0001-02,Edifício Almirante Barroso,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FAOE11,49.553.783/0001-20,FATOR RENDA ESTRUTURADA,fii,Sem categoria,,,FundsExplorer 2026-05
FARM11,42.043.633/0001-27,SANTA FÉ TERRA MATER,fiagro,Fiagro,,,FundsExplorer 2026-05
FARU11,47.240.652/0001-67,FATOR RENDA URBANA FDO DE INV IMOB,fii,Sem categoria,,,FundsExplorer 2026-05
FATN11,30.567.216/0001-02,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FCAS11,10.993.386/0001-33,FII CASTELO,fii,Outros,Lajes Corporativas,,FundsExplorer 2026-05
FCFL11,11.602.654/0001-01,Campus Faria Lima,fii,Tijolo,Educacional,,FundsExplorer 2026-05
FCFL11B,,FII CAMPUSFL,fii,Outros,,,FundsExplorer 2026-05
FEXC11,09.552.812/0001-14,BTG Pactual Fundo de CRI,fii,Papel,Papéis,,FundsExplorer 2026-05
FEXC11B,,FII EXCELLEN,fii,Outros,,,FundsExplorer 2026-05
FFCI11,,FII RIOB RC,fii,Tijolo,,,FundsExplorer 2026-05
FGAA11,42.405.905/0001-91,FG/Agro,fiagro,Fiagro,,,FundsExplorer 2026-05
FGPM11,23.781.227/0001-17,FDO INVEST IMOB GRAND PLAZA MALL,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
FIGS11,17.590.518/0001-25,General Shopping Ativo e Renda,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
FIIB11,14.217.108/0001-45,Industrial do Brasil,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
FIIP11,08.696.175/0001-97,RB Capital Renda I,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
FIIP11B,08.696.175/0001-97,RB Capital Renda I,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
FINF11,18.369.510/0001-04,Infra Real State,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
FISC11,12.804.013/0001-00,FDO INV IMOB SC 401,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FISD11,16.543.270/0001-89,São Domingos,fii,Papel,Papéis,,FundsExplorer 2026-05
FIVN11,17.854.016/0001-64,Vida Nova,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
FIXX11,,FII FATORFIX,fii,Fundo de Fundos,,,FundsExplorer 2026-05
FLCI11,,FII LCI PREM,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FLCR11,33.884.145/0001-51,FARIA LIMA CAPITAL RECEB. IMOB. I,fii,Papel,Papéis,,FundsExplorer 2026-05
FLEM11,48.565.175/0001-72,051 Agro Fazendas II,fiagro,Fiagro,,,FundsExplorer 2026-05
FLFL11,50.808.042/0001-21,VBI TR FARIA LIMA 4440 FII,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
FLMA11,04.141.645/0001-03,Continental Square Faria Lima,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FLNR11,41.820.693/0001-46,FII FLNR,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
FLRP11,10.375.382/0001-91,Floripa Shopping,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
FLRP11B,,FII FLORIPA,fii,Outros,,,FundsExplorer 2026-05
FMOF11,01.633.741/0001-72,Memorial Office,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FOFT11,16.875.388/0001-04,FII CSHGFOFT,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
FPAB11,03.251.720/0001-18,Projeto Água Branca,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FPNG11,17.161.979/0001-82,Pedra Negra Renda Imobiliária,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FPOR11,20.082.573/0001-19,PORTO SUDESTE ROYALTIES - FIP-IE,fii,Fip,FIP-IE,,FundsExplorer 2026-05
FRHY11,41.251.077/0001-11,FII FRONT,fii,Tijolo,,,FundsExplorer 2026-05
FTCA11,,NCH EQI Recebíveis do Agronegócio,fiagro,Fiagro,,,FundsExplorer 2026-05
FTCE11B,01.235.622/0001-61,Oportunity,fii,Fundo Misto,Misto,,FundsExplorer 2026-05
FTRE11,,,fii,Tijolo,,,FundsExplorer 2026-05
FVBI11,13.022.993/0001-44,FII VBI 4440,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
FVBI11B,,FII VBI 4440,fii,Outros,,,FundsExplorer 2026-05
FVPQ11,00.332.266/0001-31,Via Parque Shopping,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
FYTO11,18.085.673/0001-57,FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS,fii,Papel,Papéis,,FundsExplorer 2026-05
FZDA11,44.625.694/0001-28,051 Agro,fiagro,Fiagro,,,FundsExplorer 2026-05
FZDB11,49.489.928/0001-70,051 AGRO FAZIII FDO INV NAS CAD PROD AGRO,fiagro,Fiagro,,,FundsExplorer 2026-05
GALG11,37.295.919/0001-60,GUARDIAN LOGISTICA,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
GAME11,41.269.052/0001-45,FDO DE INVEST IMOB GUARDIAN MULTIESTRATÉGIA I,fii,Papel,,,FundsExplorer 2026-05
GARE11,37.295.919/0001-60,GUARDIAN LOGISTICA,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
GCDL11,56.061.587/0001-01,FII GCDL,fii,Tijolo,Logística,,FundsExplorer 2026-05
GCFF11,35.652.154/0001-42,GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.,fii,Papel,Fundo de Fundos,,FundsExplorer 2026-05
GCOI11,46.285.299/0001-79,GALAPAGOS SPECIAL OPORTUNITIES FII,fii,Sem categoria,,,FundsExplorer 2026-05
GCRA11,37.037.297/0001-70,FIAGRO GLPG,fiagro,Fiagro,,,FundsExplorer 2026-05
GCRI11,38.293.897/0001-61,GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS,fii,Papel,Papéis,,FundsExplorer 2026-05
GESE11B,17.007.528/0001-95,FDO INV IMOB GENERAL SEVERIANO,fii,Tijolo,Educacional,,FundsExplorer 2026-05
GFDL11,58.523.711/0001-20,GALAPAGOS FEEDER DES LOG FII RESP LIM,fii,Fundo Misto,Logística,,FundsExplorer 2026-05
GGRC11,26.614.291/0001-00,Zagros Renda Imobiliária,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
GLCR11,59.669.570/0001-11,GALAPAGOS CRÉDITO ESTRUTURADO,fii,Papel,Papéis,,FundsExplorer 2026-05
GLOG11,36.501.198/0001-34,PLURAL LOGÍSTICA FDO. INV. IMOB.,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
GLPF11,58.378.463/0001-71,FII GLPF,fii,Fundo Misto,Logística,,FundsExplorer 2026-05
GLPL11,39.979.154/0001-02,FII GLP LOG,fii,Tijolo,,,FundsExplorer 2026-05
GRLV11,17.143.998/0001-86,FII LOUVEIRA,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
GRUL11,54.483.412/0001-59,FII GRUL,fii,Tijolo,Logística,,FundsExplorer 2026-05
GRWA11,47.240.671/0001-93,GREENWICH AGRO FIAGRO,fiagro,Fiagro,,,FundsExplorer 2026-05
GSFI11,11.769.604/0001-13,GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
GTLG11,36.200.677/0001-10,GTIS BRAZIL LOGISTICS,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
GTWR11,23.740.527/0001-58,FDO INV IMOB GREEN TOWERS,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
GURB11,36.501.210/0001-00,GENIAL RENDA URBANA FDO DE INV IMOB,fii,Tijolo,,,FundsExplorer 2026-05
GVBI11,49.581.652/0001-56,FUNDO DE INVESTIMENTO IMOBILIÁRIO – VBI GREENPOWER,fii,Tijolo,,,FundsExplorer 2026-05
GWIR11,14.733.211/0001-48,FII GWI RI,fii,Outros,Shoppings,,FundsExplorer 2026-05
GZIT11,15.447.108/0001-02,FII GAZIT,fii,Tijolo,,,FundsExplorer 2026-05
HAAA11,27.445.482/0001-40,HEDGE AAA,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
HABT11,30.578.417/0001-05,HABITAT II - FDO INV IMOB,fii,Papel,Papéis,,FundsExplorer 2026-05
HBCR11,36.501.159/0001-37,HBC RENDA URBANA,fii,Tijolo,,,FundsExplorer 2026-05
HBRH11,30.871.698/0001-81,FDO.INVEST. IMOB. MULTI RENDA URBANA,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
HBTT11,26.846.202/0001-42,Habitat I,fii,Papel,Papéis,,FundsExplorer 2026-05
HCHG11,34.508.959/0001-54,HECTARE RECEBÍVEIS HIGH GRADE,fii,Papel,Papéis,,FundsExplorer 2026-05
HCPR11,42.537.363/0001-00,FII HECT PRP,fii,Tijolo,,,FundsExplorer 2026-05
HCRA11,44.668.806/0001-28,HEDGE CRÉDITO AGRO FIAGRO-DIREITOS CREDITÓRIOS,fiagro,Fiagro,,,FundsExplorer 2026-05
HCRI11,04.066.582/0001-60,Hospital da Criança,fii,Tijolo,Hospitalar,,FundsExplorer 2026-05
HCRI11B,,FII CRIANCA,fii,Tijolo,Hospitalar,,FundsExplorer 2026-05
HCST11,31.152.015/0001-07,HECTARE DESENV. STUDENT HOUSING,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
HCTR11,30.248.180/0001-96,HECTARE CE - FDO INV IMOB,fii,Papel,Papéis,,FundsExplorer 2026-05
HDEL11,44.514.162/0001-13,FII HEDGE DV,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
HDOF11,35.688.460/0001-39,FII HEDGE OF,fii,Fundo Misto,Fundo de Desenvolvimento,,FundsExplorer 2026-05
HFOF11,18.307.582/0001-19,Hedge Top FOFII 3,fii,Papel,Fundo de Fundos,,FundsExplorer 2026-05
HGAG11,40.343.867/0001-64,High Fundo de Investimento Agro,fiagro,Fiagro,,,FundsExplorer 2026-05
HGBL11,53.466.467/0001-98,HEDGE BRASIL LOGÍSTICO IND FUND INV IMOB RESP LIM,fii,Tijolo,Misto,,FundsExplorer 2026-05
HGBS11,08.431.747/0001-06,CSHG Brasil Shopping,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
HGCR11,11.160.521/0001-22,PÁTRIA RECEBÍVEIS IMOBILIÁRIOS,fii,Papel,Papéis,,FundsExplorer 2026-05
HGFF11,32.784.898/0001-22,CSHG IMOB. FOF - FDO INV. IMOB. - FII,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
HGIC11,38.456.508/0001-71,HGI CRÉDITOS IMOBILIÁRIOS,fii,Papel,Papéis,,FundsExplorer 2026-05
HGJH11,11.260.134/0001-68,FII CSHGJHSF,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
HGLG11,11.728.688/0001-47,Pátria Logística,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
HGPO11,11.260.134/0001-68,PATRIA PRIME OFFICES,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
HGRE11,09.072.017/0001-29,PATRIA ESCRITÓRIOS,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
HGRS11,41.922.239/0001-04,FII CSHG RSD,fii,Tijolo,Imóveis Residenciais,,FundsExplorer 2026-05
HGRU11,29.641.226/0001-53,PÁTRIA RENDA URBANA,fii,Tijolo,Misto,,FundsExplorer 2026-05
HILG11,34.867.728/0001-37,HIRE LOG I FDO DE INV IMOB,fii,Tijolo,,,FundsExplorer 2026-05
HLMB11,40.944.707/0001-70,FRAM CAPITAL HELMER MULTI RENDA PREF FDO INV IMOB,fii,Tijolo,Misto,,FundsExplorer 2026-05
HLOG11,27.486.542/0001-72,HEDGE LOGÍSTICA FDO. INV. IMOB.,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
HMOC11,14.733.211/0001-48,FII HEDMOCA,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
HOFC11,31.894.369/0001-19,FII HEDGE OFFICE INCOME,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
HOMS11,55.793.516/0001-22,FII HOMS,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
HOSI11,34.081.631/0001-02,FDO. INV. IMOB. HOUSI,fii,Tijolo,Imóveis Residenciais,,FundsExplorer 2026-05
HPDP11,35.586.415/0001-73,HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
HPDR11,60.195.941/0001-50,HEDGE PALADIN DESENVOLVIMENTO RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIARIO DE RESPONSABILIDADE LTDA,fii,Tijolo,Imóveis Residenciais,,FundsExplorer 2026-05
HRDF11,16.929.519/0001-99,HEDGE REALTY DEVELOPMENT FDO INV IMOB,fii,Fundo Misto,Fundo de Desenvolvimento,,FundsExplorer 2026-05
HREC11,35.507.262/0001-21,HEDGE RECEBIVEIS IMOB,fii,Papel,Papéis,,FundsExplorer 2026-05
HRES11,42.869.853/0001-04,FII HIRE RES,fii,Multiestratégia,Imóveis Residenciais,,FundsExplorer 2026-05
HSAF11,35.360.687/0001-50,HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI,fii,Multiestratégia,Papéis,,FundsExplorer 2026-05
HSLG11,32.903.621/0001-71,HSI LOGÍSTICA,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
HSML11,32.892.018/0001-31,HSI MALL FDO INV IMOB,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
HSRE11,08.098.114/0001-28,HSI RENDA IMOB,fii,Tijolo,Misto,,FundsExplorer 2026-05
HTMX11,08.706.065/0001-69,Hotel Maxinvest,fii,Tijolo,Hotéis,,FundsExplorer 2026-05
HTMX11B,,FII HOTEL MX,fii,Outros,,,FundsExplorer 2026-05
HUCG11,39.347.413/0001-82,FII UNIMED C,fii,Tijolo,Hospitalar,,FundsExplorer 2026-05
HUSC11,28.851.767/0001-43,Hospital Unimed Sul Capixaba,fii,Tijolo,Hospitalar,,FundsExplorer 2026-05
HUSI11,30.017.492/0001-99,HUSI FDO INV. IMOB.,fii,Tijolo,Hospitalar,,FundsExplorer 2026-05
HYPI11,28.899.178/0001-35,FII HYPI,fii,Multiestratégia,Outros,,FundsExplorer 2026-05
IAAG11,42.692.399/0001-69,INTER AMERRA - FIAGRO,fiagro,Fiagro,,,FundsExplorer 2026-05
IAGR11,44.286.898/0001-81,FIAGRO SFI,fiagro,Fiagro,,,FundsExplorer 2026-05
IBBP11,52.551.605/0001-74,FII IBBP,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
IBCR11,40.011.251/0001-96,FDO DE INV IMOBILIÁRIO DE CRI INTEGRAL BREI,fii,Papel,Papéis,,FundsExplorer 2026-05
IBFF11,33.721.517/0001-29,FDO INV. IMOB. FOF INTEGRAL BREI,fii,Papel,Fundo de Fundos,,FundsExplorer 2026-05
ICNE11,53.137.434/0001-02,ÍCONE - FUNDO DE INVEST IMOB RES LIMITADA,fii,Sem categoria,Imóveis Residenciais,,FundsExplorer 2026-05
ICRI11,51.294.441/0001-84,ITAÚ CRÉDITO IMOB IPCA FDO DE INV IMOB,fii,Papel,Misto,,FundsExplorer 2026-05
IDFI11,32.774.914/0001-04,FII UNIDADES,fii,Fundo Misto,,,FundsExplorer 2026-05
IDGO11,49.112.611/0001-10,ID GOIANA,fiagro,Fiagro,Misto,,FundsExplorer 2026-05
IDGR11,44.177.538/0001-41,FDO DE INV IMOBILIÁRIO DE UNIDADES AUTÔNOMAS II,fii,Tijolo,Misto,,FundsExplorer 2026-05
IDUA11,52.324.762/0001-47,FDO DE INV IMOBILIÁRIO DE UNIDADES AUTÔNOMAS IV,fii,Multiestratégia,Imóveis Comerciais - Outros,,FundsExplorer 2026-05
IFID11,,FII IFI-D,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
IFIE11,,FII IFI-E,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
IMOV11,46.437.903/0001-35,Navi Hedge Fund,fii,Multiestratégia,,,FundsExplorer 2026-05
INDE11,52.635.194/0001-03,INTER DESENVOLVIMENTO FDO DE INV IMOB,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
INLG11,34.598.181/0001-11,INTER LOG FDO INV IMOB,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
INRD11,34.835.191/0001-23,INTER RESIDENCE FDO. INV. IMOB.,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
IRDM11,28.830.325/0001-10,Iridium Recebíveis Imobiliários,fii,Papel,Papéis,,FundsExplorer 2026-05
IRIM11,41.076.564/0001-95,IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Multiestratégia,,,FundsExplorer 2026-05
ISCJ11,50.418.740/0001-10,INVISTA SCJ - FII,fii,Sem categoria,Papéis,,FundsExplorer 2026-05
ITIP11,36.312.772/0001-06,FII INTER IP,fii,Fundo de Fundos,Papéis,,FundsExplorer 2026-05
ITIT11,36.293.425/0001-83,FII INTER IT,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
ITRI11,52.270.671/0001-76,ITAÚ TOTAL RETURN FDO DE INV IMOB,fii,Multiestratégia,Shoppings,,FundsExplorer 2026-05
IVCI11,53.305.536/0001-81,FII IVCI,fii,Papel,Papéis,,FundsExplorer 2026-05
JASC11,40.886.241/0001-02,FII JASC REN,fii,Tijolo,Imóveis Comerciais - Outros,,FundsExplorer 2026-05
JBFO11,36.615.915/0001-59,JBFO FOF FDO INV. IMOB.,fii,Fundo Misto,Papéis,,FundsExplorer 2026-05
JCCJ11,50.701.686/0001-16,JHSF CAPITAL CIDADE JARDIM – FDO DE INV IMOB,fii,Tijolo,Papéis,,FundsExplorer 2026-05
JCDA11,31.772.231/0001-47,FII JCDA I,fii,Tijolo,Misto,,FundsExplorer 2026-05
JCDB11,35.705.542/0001-44,JACARANDÁ 02 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,fii,Tijolo,Imóveis Comerciais - Outros,,FundsExplorer 2026-05
JCIN11,50.718.976/0001-72,FII JCIN,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
JFLL11,36.501.181/0001-87,JFL LIVING FDO. INV. IMOB.,fii,Tijolo,Imóveis Residenciais,,FundsExplorer 2026-05
JGPX11,42.888.292/0001-90,FIAGRO JGP,fiagro,Fiagro,,,FundsExplorer 2026-05
JPPA11,30.982.880/0001-00,JPP ALLOCATION MOGNO - FDO INV IMOB,fii,Papel,Papéis,,FundsExplorer 2026-05
JPPC11,17.216.625/0001-98,JPP Capital,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
JRDM11,14.879.856/0001-93,Shopping Jardim Sul,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
JRDM11B,,FII SHOPJSUL,fii,Outros,,,FundsExplorer 2026-05
JSAF11,42.085.661/0001-07,JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBIL,fii,Multiestratégia,Fundo de Fundos,,FundsExplorer 2026-05
JSCR11,54.866.214/0001-74,FII JSCR,fii,Papel,Papéis,,FundsExplorer 2026-05
JSRE11,13.371.132/0001-71,JS Real Estate Multigestão,fii,Tijolo,Misto,,FundsExplorer 2026-05
JTPR11,23.876.086/0001-16,JT Prev FII Desenvolvimento Habitacional,fii,Fundo Misto,Fundo de Desenvolvimento,,FundsExplorer 2026-05
KCRE11,42.502.802/0001-40,FII KINEA CR,fii,Papel,,,FundsExplorer 2026-05
KDOL11,51.641.681/0001-08,KINEA AGRO INCOME USD,fiagro,Fiagro,Misto,,FundsExplorer 2026-05
KEVE11,32.317.313/0001-64,EVEN II KINEA,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
KFEN11,55.753.193/0001-43,KINEA FÊNIX,fii,Papel,,,FundsExplorer 2026-05
KFOF11,30.091.444/0001-40,FUNDO DE FDO INV IMOB KINEA FII,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
KINP11,24.070.076/0001-51,Even Permuta Kinea,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
KISU11,36.669.660/0001-07,KILIMA FIC FDO. IMOB. SUNO 30,fii,Papel,Fundo de Fundos,,FundsExplorer 2026-05
KIVO11,42.273.325/0001-98,FII KIVO,fii,Papel,Papéis,,FundsExplorer 2026-05
KLOG11,51.734.924/0001-52,FII KINEA DL,fii,Tijolo,Logística,,FundsExplorer 2026-05
KNCA11,41.745.701/0001-37,FIAGRO KINEA,fiagro,Fiagro,,,FundsExplorer 2026-05
KNCR11,16.706.958/0001-32,Kinea Rendimentos Imobiliários,fii,Papel,Papéis,,FundsExplorer 2026-05
KNHF11,42.754.342/0001-47,KINEA HEDGE FUND FDO DE INV IMOB,fii,Multiestratégia,,,FundsExplorer 2026-05
KNHY11,30.130.708/0001-28,Kinea High Yield CRI,fii,Papel,Papéis,,FundsExplorer 2026-05
KNIP11,24.960.430/0001-13,Kinea Índice de Preços,fii,Papel,Papéis,,FundsExplorer 2026-05
KNOX11,36.642.570/0001-22,KNOX DEBT FDO. INVEST. PART. INFRAESTRUTURA,fii,Fip,FIP-IE,,FundsExplorer 2026-05
KNPR11,42.737.059/0001-07,FII KINEA PR,fii,Fundo de Fundos,,,FundsExplorer 2026-05
KNRE11,14.423.780/0001-97,Kinea II Real Estate Equity,fii,Fundo Misto,Fundo de Desenvolvimento,,FundsExplorer 2026-05
KNRI11,12.005.956/0001-65,Kinea Renda Imobiliária,fii,Tijolo,Misto,,FundsExplorer 2026-05
KNSC11,35.864.448/0001-38,KINEA SECURITIES FDO. DE INV. IMOB. - FII,fii,Papel,Papéis,,FundsExplorer 2026-05
KNUQ11,42.754.362/0001-18,KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB,fii,Papel,,,FundsExplorer 2026-05
KOPA11,51.475.461/0001-51,FIAGRO KOPA,fiagro,Fiagro,,,FundsExplorer 2026-05
KOPI11,51.869.200/0001-16,KINEA OPOR IMOB I FUNDO DE INVEST IMB LTDA,fii,Sem categoria,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
KORE11,52.219.978/0001-42,KINEA OPORTUNIDADES REAL ESTATE FDO DE INV IMOB,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
KRES11,53.654.501/0001-58,KINEA AQUISIÇÕES RESIDENCIAIS FII RESP LIM,fii,Tijolo,Misto,,FundsExplorer 2026-05
LAFI11,51.710.043/0001-00,LAVOURA I,fiagro,Fiagro,Misto,,FundsExplorer 2026-05
LASC11,30.248.158/0001-46,LEGATUS SHOPPINGS FDO. INV. IMOB. - FII,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
LATR11B,17.209.378/0001-00,Lateres,fii,Fundo Misto,Fundo de Desenvolvimento,,FundsExplorer 2026-05
LAVF11,37.467.733/0001-40,FII LAVOURA,fii,Fundo Misto,,,FundsExplorer 2026-05
LFTT11,24.796.967/0001-90,LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Tijolo,Papéis,,FundsExplorer 2026-05
LGCP11,34.598.181/0001-11,LOGCP INTER FDO INV IMOB,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
LIFE11,39.753.295/0001-02,FII LIFE,fii,Tijolo,Imóveis Comerciais - Outros,,FundsExplorer 2026-05
LKDV11,40.102.445/0001-05,FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT V1,fii,Multiestratégia,Papéis,,FundsExplorer 2026-05
LLAO11,41.218.404/0001-33,FII BS2,fii,Multiestratégia,Misto,,FundsExplorer 2026-05
LOFT11,,,fii,Tijolo,,,FundsExplorer 2026-05
LOFT11B,19.722.048/0001-31,LOFT I - FDO INV IMOB,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
LPLP11,37.262.752/0001-30,FII LAGO PDR,fii,Tijolo,,,FundsExplorer 2026-05
LRDI11,41.088.534/0001-07,FII LEBLON,fii,Fundo Misto,,,FundsExplorer 2026-05
LRED11,55.089.373/0001-72,LCP Real Estate Development,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
LSAG11,42.592.476/0001-09,Leste,fiagro,Fiagro,,,FundsExplorer 2026-05
LSOI11,53.087.126/0001-01,LCP SPECIAL OPPORTUNITIES I FDO INV IMOB RESP,fii,Tijolo,Misto,,FundsExplorer 2026-05
LSPA11,31.847.293/0001-70,LESTE RIVA EQUITY PREFERENCIAL I,fii,Fundo Misto,Papéis,,FundsExplorer 2026-05
LTMT11,46.449.786/0001-20,FII SPECIALE,fii,Tijolo,Imóveis Residenciais,,FundsExplorer 2026-05
LUGG11,34.835.191/0001-23,LUGGO FDO. INV. IMOB.,fii,Tijolo,Imóveis Residenciais,,FundsExplorer 2026-05
LVBI11,30.629.603/0001-18,FDO INV IMOB - VBI LOGÍSTICO,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
MADS11,35.652.035/0001-90,MAUÁ CAPITAL DESENV I,fii,Fundo Misto,Fundo de Desenvolvimento,,FundsExplorer 2026-05
MALL11,26.499.833/0001-32,Malls Brasil Plural,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
MANA11,42.888.583/0001-89,FII MANATI,fii,Multiestratégia,,,FundsExplorer 2026-05
MATV11,41.076.678/0001-35,MORE GESTÃO ATIVA DE RECEBÍVEIS FDO DE INV IMOB,fii,Papel,,,FundsExplorer 2026-05
