# Catálogo de FIIs e FIAGROs (asset_class=fii|fiagro)
#
# Arquivo gerado/atualizado pelo crawler do FundsExplorer:
#   uv run python scripts/crawler/fundsexplorer/generate_fiis_csv.py
#
# O crawler é não-destrutivo: nunca sobrescreve uma célula já preenchida
# (ex.: reclassificação manual de FII → FIAGRO permanece intacta).
#
# Schema canônico: ver data/asset_catalog/README.md.
ticker,cnpj,razao_social,asset_class,sector_category,sector_subcategory,site_ri,fonte
BBIG11,54.375.187/0001-37,BB PREMIUM MALLS FDO DE INV IMOB RESP LIM,fii,Tijolo,Serviços Financeiros Diversos,,FundsExplorer 2026-05
BBIM11,20.716.161/0001-93,BB Recebíveis Imobiliários,fii,Papel,Papéis,,FundsExplorer 2026-05
BBPO11,14.410.722/0001-29,BB Progressivo II,fii,Tijolo,Agências de Bancos,,FundsExplorer 2026-05
BBRC11,12.681.340/0001-04,BB Renda Corporativa,fii,Tijolo,Agências de Bancos,,FundsExplorer 2026-05
BBVJ11,,FII C JARDIM,fii,Tijolo,,,FundsExplorer 2026-05
BCFF11,11.026.627/0001-38,BTG Fundo de Fundos,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
BCFF11B,,FII BC FFII,fii,Outros,,,FundsExplorer 2026-05
BCIA11,20.216.935/0001-17,Bradesco Carteira Imobiliária Ativa,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
BCRI11,22.219.335/0001-38,Banestes Recebíveis Imobiliários,fii,Papel,Papéis,,FundsExplorer 2026-05
BDIV11,35.640.741/0001-11,BTG PACTUAL IE DIV. FDO INV. PART. IE,fii,Fip,,,FundsExplorer 2026-05
BETW11,51.666.294/0001-26,FII BETW,fii,Tijolo,,,FundsExplorer 2026-05
BGRB11,57.216.258/0001-47,BGR B32 FUNDO DE INVEST IMOB RESP LIM,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BICE11,39.332.032/0001-20,BRIO CRÉDITO ESTRUTURADO,fii,Papel,Fundo de Fundos,,FundsExplorer 2026-05
BICR11,34.007.109/0001-72,INTER TÍTULOS IMOB. FDO INV. IMOB.,fii,Papel,Papéis,,FundsExplorer 2026-05
BIME11,41.081.356/0001-84,BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB,fii,Multiestratégia,,,FundsExplorer 2026-05
BINR11,35.360.651/0001-77,BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Tijolo,,,FundsExplorer 2026-05
BIPD11,42.869.892/0001-01,FII BRIO IV,fii,Tijolo,,,FundsExplorer 2026-05
BIPE11,51.817.522/0001-11,FII BRIO V,fii,Multiestratégia,Imóveis Residenciais,,FundsExplorer 2026-05
BLCA11,41.076.748/0001-55,BLUEMACAW CATUAÍ TRIPLE A FDO DE INV IMOB,fii,Tijolo,,,FundsExplorer 2026-05
BLCP11,35.652.060/0001-73,BLUECAP RENDA LOG. FDO INV. IMOB. - FII,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
BLMC11,38.294.221/0001-92,BLUEMACAW CRÉDITO IMOBILIÁRIO,fii,Papel,Papéis,,FundsExplorer 2026-05
BLMG11,34.081.637/0001-71,BLUEMACAW LOGÍSTICA,fii,Multiestratégia,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
BLMO11,34.895.894/0001-47,BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BLMR11,36.368.869/0001-30,BLUEMACAW RENDA + FOF,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
BLOG11,49.592.781/0001-40,BLUECAP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Tijolo,Misto,,FundsExplorer 2026-05
BLUR11,38.051.307/0001-94,FII BLUE REC,fii,Papel,Papéis,,FundsExplorer 2026-05
BMII11,02.027.437/0001-44,Brasilio Machado,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BMLC11,14.376.247/0001-11,BM Brascan Lajes Corporativas,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BMLC11B,,FII BMBRC LC,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BNFS11,15.570.431/0001-60,Banrisul Novas Fronteiras,fii,Tijolo,Agências de Bancos,,FundsExplorer 2026-05
BPFF11,17.324.357/0001-28,Brasil Plural Absoluto Fundo de Fundos,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
BPLC11,28.267.555/0001-13,FII BASILICA,fii,Tijolo,Misto,,FundsExplorer 2026-05
BPML11,33.046.142/0001-49,FDO INV IMOB BTG PACTUAL SHOPPINGS,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
BPRP11,29.800.650/0001-01,FDO INV IMOB - FII BRLPROP,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
BRCO11,20.748.515/0001-81,BRESCO LOGÍSTICA - FDO INV IMOB,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
BRCR11,08.924.783/0001-01,BTG Pactual Corporate Office,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BREV11,26.195.121/0001-20,BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BRFT11,52.512.069/0001-06,BRADESCO FARMTECH FIDC DC RESP LIMITADA,fiagro,Fiagro,Misto,,FundsExplorer 2026-05
BRHT11B,15.461.076/0001-91,BR Hotéis,fii,Tijolo,Hotéis,,FundsExplorer 2026-05
BRIM11,23.964.843/0001-03,BRIO REAL ESTATE II - FDO INV IMOB,fii,Multiestratégia,Fundo de Desenvolvimento,,FundsExplorer 2026-05
BRIP11,34.895.752/0001-80,BRIO REAL ESTATE III,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
BRIX11,35.360.651/0001-77,FII BRIX,fii,Fundo Misto,,,FundsExplorer 2026-05
BRLA11,35.652.278/0001-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
BROF11,48.978.859/0001-04,BRPR CORPORATE OFFICES FDO DE INV IMOB,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BROL11,39.317.150/0001-69,FII BR PROPE,fii,Outros,,,FundsExplorer 2026-05
BRSE11,40.944.736/0001-32,BR7 SENADO FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Tijolo,,,FundsExplorer 2026-05
BRZP11,,,fii,Fip,,,FundsExplorer 2026-05
BSLT11,60.373.688/0001-87,FUNDO DE INVESTIMENTOS IMOBILIÁRIOS DE PERMUTA FINANCEIRA LOTE5 (SENIOR) RESPONSABILIDADE LIMITADA,fii,Tijolo,,,FundsExplorer 2026-05
BTAG11,40.771.109/0001-47,BTG PACTUAL CRÉDITO AGRÍCOLA FIAGRO - DIREITOS CREDITÓRIOS,fiagro,Fiagro,,,FundsExplorer 2026-05
BTAL11,36.642.244/0001-15,BTG PACTUAL AGRO LOGÍSTICA,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
BTCI11,09.552.812/0001-14,FII BTG CRI,fii,Papel,Papéis,,FundsExplorer 2026-05
BTCR11,29.787.928/0001-40,BTG Pactual Crédito Imobiliário,fii,Papel,Papéis,,FundsExplorer 2026-05
BTGM11,,FII BTGMALLS,fii,Outros,,,FundsExplorer 2026-05
BTHF11,45.188.176/0001-57,BTG PACTUAL REAL ESTATE HEDGE FUND FII - RESP LTDA,fii,Multiestratégia,Papéis,,FundsExplorer 2026-05
BTHI11,18.308.516/0001-63,BTG PACTUAL HOTÉIS FII,fii,Tijolo,Hotéis,,FundsExplorer 2026-05
BTHR11,60.329.826/0001-20,BTG HOSPITALIDADE RETORNO TOTAL FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,fii,Tijolo,Hotéis,,FundsExplorer 2026-05
BTLG11,11.839.593/0001-09,BTG PACTUAL LOGISTICA FDO INV IMOB - FII,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
BTML11,36.501.210/0001-00,BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
BTRA11,41.076.607/0001-32,FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS,fiagro,Fiagro,Fazendas,,FundsExplorer 2026-05
BTSG11,36.098.375/0001-83,BTSP I FDO. INVEST. IMOB,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
BTSI11,36.930.464/0001-44,BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Multiestratégia,Misto,,FundsExplorer 2026-05
BTWR11,20.132.453/0001-89,BTOWERS FII,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
BTYU11,54.645.216/0001-33,BTG PACTUAL YOU,fii,Tijolo,Incorporações,,FundsExplorer 2026-05
BVAR11,21.126.204/0001-43,Brasil Varejo,fii,Tijolo,Varejo,,FundsExplorer 2026-05
BZEL11,35.507.610/0001-60,BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Tijolo,Misto,,FundsExplorer 2026-05
BZLI11,14.074.706/0001-02,Brazil Realty,fii,Fundo Misto,Misto,,FundsExplorer 2026-05
CACR11,32.065.364/0001-46,CARTESIA FII,fii,Papel,Papéis,,FundsExplorer 2026-05
CAFE11,51.764.889/0001-14,BIGTRADE SUNO FIAGRO RESPONSABILIDADE LIMITADA–DC,fiagro,Fiagro,Misto,,FundsExplorer 2026-05
CARE11,13.584.584/0001-31,Brazilian Graveyard and Death Care,fii,Fundo Misto,Misto,,FundsExplorer 2026-05
CBOP11,17.144.039/0001-85,Castello Branco Office Park,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CCFA11,42.537.470/0001-39,CANVAS FDO DE INV NAS CAD PROD AGRO,fiagro,Fiagro,,,FundsExplorer 2026-05
CCLB11,45.777.347/0001-83,FII CENTRAL LEBLON,fii,Sem categoria,,,FundsExplorer 2026-05
CCME11,43.010.844/0001-26,FII CANUMA,fii,Multiestratégia,,,FundsExplorer 2026-05
